Date,Hubei,Guangdong,Beijing,Shanghai,Zhejiang,Tianjin,Chongqing,Jiangxi,Shandong,Henan,Hunan,Sichuan,Yunnan,Shanxi,Fujian,Liaoning,Hainan,Anhui,Guizhou,Guangxi,Ningxia,Hebei,Jiangsu,Jilin,Heilongjiang,Shaanxi,Xinjiang,Gansu,InnerMongolia,Qinghai,Tibet
1/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2020,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2020,7,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1/24/2020,15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1/25/2020,13,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1/26/2020,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2020,24,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1/28/2020,25,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1/29/2020,37,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1/30/2020,42,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1/31/2020,45,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2/1/2020,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2020,56,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2/3/2020,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/2020,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/2020,70,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,
2/6/2020,69,1,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,
2/7/2020,81,,1,,,,,,,1,,,,,,,,,,,,,,,2,,,1,,,
2/8/2020,81,,,,,,,,1,2,1,,,,,,,1,,1,,1,,,1,,,,,,
